"restaurant_id","restaurant_name","city","total_revenue","revenue_rank"
176,"Delhi Darbar 176","Chennai","13877.56","1"
92,"Burger Factory 92","Mumbai","13162.58","2"
288,"Urban Tadka 288","Delhi","12386.44","3"
41,"Golden Spoon 41","Delhi","11065.40","4"
71,"Saffron Delight 71","Mumbai","11001.43","5"
212,"Saffron Delight 212","Bangalore","10926.50","6"
213,"Pizza Junction 213","Bangalore","9479.48","7"
200,"Chai & Chat 200","Chennai","9419.76","8"
147,"The Food Studio 147","Kolkata","9413.07","9"
252,"Mumbai Masala 252","Chennai","9088.22","10"
295,"Spice Villa 295","Chennai","8926.39","11"
161,"Pizza Junction 161","Kolkata","8906.70","12"
253,"Spice Villa 253","Kolkata","8782.96","13"
56,"Kolkata Kitchen 56","Kolkata","8725.18","14"
112,"Punjabi Dhaba 112","Mumbai","8374.05","15"
86,"The Food Studio 86","Delhi","8230.37","16"
215,"Dragon Wok 215","Bangalore","8108.65","17"
201,"Biryani House 201","Bangalore","8083.05","18"
156,"Pizza Junction 156","Chennai","7956.84","19"
146,"Mumbai Masala 146","Chennai","7868.08","20"
296,"Bombay Bistro 296","Delhi","7841.98","21"
276,"Punjabi Dhaba 276","Mumbai","7791.88","22"
120,"Delhi Darbar 120","Bangalore","7763.58","23"
285,"Biryani House 285","Mumbai","7662.93","24"
284,"Chai & Chat 284","Chennai","7649.69","25"
242,"Dragon Wok 242","Kolkata","7591.44","26"
249,"Golden Spoon 249","Bangalore","7541.99","27"
158,"Dragon Wok 158","Delhi","7537.08","28"
168,"Annapurna Bhavan 168","Bangalore","7496.39","29"
237,"Mughal Mahal 237","Bangalore","7457.34","30"
155,"Delhi Darbar 155","Delhi","7374.86","31"
74,"Golden Spoon 74","Kolkata","7271.42","32"
174,"Delhi Darbar 174","Delhi","7169.82","33"
55,"Masala Magic 55","Chennai","7137.17","34"
103,"The Curry Leaf 103","Delhi","7027.01","35"
93,"South Spice 93","Bangalore","6982.75","36"
300,"Annapurna Bhavan 300","Kolkata","6956.08","37"
142,"The Curry Leaf 142","Mumbai","6948.59","38"
259,"Urban Tadka 259","Kolkata","6866.20","39"
63,"Masala Magic 63","Chennai","6786.59","40"
172,"Chutney Express 172","Mumbai","6740.17","41"
184,"Dragon Wok 184","Delhi","6702.09","42"
136,"Punjabi Dhaba 136","Mumbai","6686.82","43"
35,"Flavours of India 35","Delhi","6658.59","44"
177,"Chutney Express 177","Mumbai","6648.56","45"
233,"Punjabi Dhaba 233","Mumbai","6567.24","46"
291,"South Spice 291","Mumbai","6539.18","47"
164,"Mughal Mahal 164","Mumbai","6519.98","48"
269,"Urban Tadka 269","Kolkata","6514.41","49"
90,"The Food Studio 90","Mumbai","6476.27","50"
88,"Burger Factory 88","Kolkata","6297.51","51"
218,"Annapurna Bhavan 218","Chennai","6292.83","52"
196,"Punjabi Dhaba 196","Bangalore","6271.64","53"
69,"Masala Magic 69","Chennai","6266.34","54"
293,"Golden Spoon 293","Kolkata","6241.83","55"
135,"Mumbai Masala 135","Mumbai","6176.70","56"
292,"Burger Factory 292","Chennai","6170.30","57"
52,"Dragon Wok 52","Mumbai","6141.66","58"
12,"Curry Kingdom 12","Chennai","6136.88","59"
85,"The Hungry Panda 85","Bangalore","6110.71","60"
79,"Dragon Wok 79","Kolkata","6104.44","61"
104,"The Food Studio 104","Chennai","6095.20","62"
251,"Flavours of India 251","Bangalore","6030.77","63"
91,"Curry Kingdom 91","Kolkata","6016.86","64"
60,"Chai & Chat 60","Delhi","6008.48","65"
230,"The Curry Leaf 230","Bangalore","5974.01","66"
236,"Burger Factory 236","Kolkata","5930.62","67"
268,"The Hungry Panda 268","Bangalore","5905.06","68"
122,"Kolkata Kitchen 122","Mumbai","5891.62","69"
84,"Dragon Wok 84","Delhi","5886.62","70"
24,"Delhi Darbar 24","Kolkata","5863.55","71"
219,"South Spice 219","Delhi","5813.48","72"
34,"South Spice 34","Kolkata","5793.37","73"
96,"Mumbai Masala 96","Mumbai","5772.33","74"
3,"South Spice 3","Kolkata","5731.05","75"
44,"Golden Spoon 44","Delhi","5708.91","76"
267,"Taste of Punjab 267","Chennai","5697.45","77"
203,"Golden Spoon 203","Kolkata","5692.39","78"
193,"The Curry Leaf 193","Chennai","5691.44","79"
73,"Kolkata Kitchen 73","Bangalore","5650.35","80"
133,"Biryani House 133","Bangalore","5538.42","81"
228,"Pizza Junction 228","Delhi","5537.71","82"
145,"South Spice 145","Kolkata","5493.93","83"
143,"Royal Tandoor 143","Kolkata","5409.79","84"
226,"Mumbai Masala 226","Mumbai","5377.35","85"
40,"Pizza Junction 40","Kolkata","5333.85","86"
243,"South Spice 243","Bangalore","5328.49","87"
179,"Curry Kingdom 179","Kolkata","5274.47","88"
77,"The Food Studio 77","Kolkata","5228.25","89"
214,"Chai & Chat 214","Chennai","5223.16","90"
223,"Annapurna Bhavan 223","Chennai","5209.31","91"
54,"Royal Tandoor 54","Bangalore","5206.84","92"
167,"Taste of Punjab 167","Chennai","5153.39","93"
46,"The Hungry Panda 46","Kolkata","5077.01","94"
67,"Golden Spoon 67","Mumbai","5049.71","95"
232,"Caf̩ Masaledar 232","Bangalore","4988.42","96"
238,"Masala Magic 238","Kolkata","4949.20","97"
25,"Chai & Chat 25","Chennai","4910.43","98"
150,"Rasoi Ghar 150","Bangalore","4845.14","99"
255,"Golden Spoon 255","Chennai","4782.22","100"
31,"Bombay Bistro 31","Chennai","4735.75","101"
127,"Tandoori Nights 127","Chennai","4727.45","102"
274,"Taste of Punjab 274","Chennai","4711.23","103"
117,"Masala Magic 117","Delhi","4704.60","104"
278,"Curry Kingdom 278","Chennai","4661.41","105"
94,"The Food Studio 94","Delhi","4605.59","106"
