"rating","num_restaurants","total_rating_revenue","avg_revenue_per_restaurant"
"5.00","9","33065.55","3673.950000"
"4.90","19","100591.67","5294.298421"
"4.80","12","38009.32","3167.443333"
"4.70","12","39032.69","3252.724167"
"4.60","14","56510.71","4036.479286"
"4.50","15","45664.74","3044.316000"
"4.40","22","83683.39","3803.790455"
"4.30","10","31630.87","3163.087000"
"4.20","17","66061.04","3885.943529"
"4.10","16","65649.99","4103.124375"
"4.00","13","60639.31","4664.562308"
"3.90","15","63956.48","4263.765333"
"3.80","16","74232.97","4639.560625"
"3.70","9","42179.04","4686.560000"
"3.60","20","83408.02","4170.401000"
"3.50","15","53390.79","3559.386000"
"3.40","14","55547.42","3967.672857"
"3.30","17","54079.89","3181.170000"
"3.20","15","47408.38","3160.558667"
"3.10","14","65723.21","4694.515000"
"3.00","6","26414.45","4402.408333"
